ft_year1,pt_year1,ft_year2,pt_year2,ft_year3,pt_year3,serial_number,Nphd,GPHD
231,0,203,2,264,3,1,234.3333,16.75
238,69,230,71,228,98,2,311.3333,16.73
416,26,122,150,205,66,3,328.3333,17.20
190,5,208,6,232,4,4,215,16.02
169,12,185,14,235,14,5,209.6667,15.54
361,0,319,0,402,0,6,360.6667,20.00
195,14,161,18,239,49,7,225.3333,15.61
84,14,59,9,46,6,8,72.6667,8.43
87,36,121,43,117,43,9,149,11.57
136,0,102,0,113,0,10,117,12.06
145,99,205,120,129,153,11,283.6667,14.11
103,23,104,16,114,19,12,126.3333,11.49
153,117,130,91,79,95,13,221.6667,12.25
96,0,71,2,77,1,14,82.3333,9.84
95,0,112,0,115,0,15,107.3333,11.51
123,0,90,0,114,0,16,109,11.61
163,87,76,37,68,45,17,158.6667,11.22
37,1,84,1,50,1,18,58,7.91
11,34,13,25,10,18,19,37,2.28
74,23,69,22,78,40,20,102,9.28
65,15,71,14,81,10,21,85.3333,9.18
42,10,32,0,28,0,22,37.3333,5.54
89,0,96,0,75,14,23,91.3333,10.21
45,3,111,9,82,4,24,84.6667,9.70
51,32,44,14,40,16,25,65.6667,6.76
63,0,53,0,37,0,26,51,7.35
57,0,63,5,65,7,27,65.6667,8.31
60,106,31,64,77,116,28,151.3333,7.82
28,24,33,20,30,43,29,59.3333,5.09
12,4,25,2,29,2,30,24.6667,3.97
42,61,39,95,26,57,31,106.6667,5.73
34,0,36,0,35,2,32,35.6667,5.66
56,3,52,7,48,1,33,55.6667,7.45
47,24,31,19,59,18,34,66,6.82
93,0,116,0,74,0,35,94.3333,10.72
63,11,64,13,47,22,36,73.3333,8.00
65,32,59,31,53,30,37,90,8.08
79,35,77,36,16,26,38,89.6667,7.94
118,0,73,0,79,0,39,90,10.44
47,8,52,16,37,11,40,57,6.79
99,13,38,8,49,5,41,70.6667,8.34
45,4,45,4,56,5,42,53,7.12
96,18,72,24,57,43,43,103.3333,9.38
69,73,48,80,34,78,44,127.3333,7.29
62,26,32,36,26,39,45,73.6667,6.22
47,25,48,13,31,15,46,59.6667,6.44
55,0,35,0,35,0,47,41.6667,6.41
21,7,12,1,13,1,48,18.3333,2.95
51,17,84,15,75,17,49,86.3333,9.00
18,76,14,39,11,24,50,60.6667,2.79
18,4,6,1,9,0,51,12.6667,2.22
5,69,10,81,2,50,52,72.3333,1.22
42,9,27,24,18,12,53,44,4.92
2,17,5,33,0,25,54,27.3333,0.52
10,12,14,4,11,0,55,17,2.34
50,18,31,4,26,6,56,45,5.73
7,7,18,22,15,20,57,29.6667,2.62
23,24,28,30,20,25,58,50,4.21
4,0,1,0,0,0,59,1.6667,0.38
103,0,22,0,18,0,60,47.6667,7.03
25,0,19,2,19,1,61,22,3.83
27,0,16,38,5,16,62,34,3.06
18,43,20,41,10,39,63,57,3.06
12,24,3,10,1,8,64,19.3333,1.15
39,24,43,38,42,43,65,76.3333,6.37
45,82,29,105,26,108,66,131.6667,5.46
2,0,1,0,0,0,67,1,0.23
58,0,59,0,65,0,68,60.6667,8.23
1,0,1,0,0,0,69,0.6667,0.15
59,21,46,29,28,14,70,65.6667,6.69
78,0,14,1,14,2,71,36.3333,5.70
13,2,13,5,6,1,72,13.3333,2.16
10,27,10,23,5,7,73,27.3333,1.73
7,3,2,3,3,4,74,7.3333,0.88
21,0,24,0,9,0,75,18,3.38
6,12,5,17,0,18,76,19.3333,0.81
2,8,4,35,4,38,77,30.3333,0.74
8,31,9,30,12,34,78,41.3333,1.98
19,0,15,0,4,0,79,12.6667,2.51
19,31,20,58,24,27,80,59.6667,3.83
6,0,2,0,0,0,81,2.6667,0.59
43,7,45,4,19,2,82,40,5.73
11,148,18,271,20,303,83,257,3.12
22,21,26,24,4,6,84,34.3333,3.27
28,37,17,35,1,12,85,43.3333,2.95
9,18,16,48,16,37,86,48,2.68
2,39,4,35,1,32,87,37.6667,0.52
7,0,5,0,8,0,88,6.6667,1.41
49,0,29,0,7,0,89,28.3333,4.84
16,1,16,0,6,0,90,13,2.51
38,14,26,17,15,9,91,39.6667,4.57
3,23,10,15,4,18,92,24.3333,1.22
2,0,0,0,0,0,93,0.6667,0.15
33,73,63,83,52,84,94,129.3333,7.19
17,4,16,3,12,3,95,18.3333,2.90
11,67,1,28,2,34,96,47.6667,1.02
24,0,28,0,19,0,97,23.6667,4.21
5,7,0,7,0,8,98,9,0.38
16,3,8,19,5,8,99,19.6667,1.98
3,0,0,0,0,0,100,1,0.23
