institute_id,institute_name,year,rank,GPHD,image_path,notes
IR-E-U-0395,Indian Institute of Technology Jodhpur,2025,27,3.14,2025\027_Indian_Institute_of_Technology_Jodhpur\scores.jpg,
IR-E-U-0025,National Institute of Technology Warangal,2025,28,9.06,2025\028_National_Institute_of_Technology_Warangal\scores.jpg,
IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2025,29,9.39,2025\029_Thapar_Institute_of_Engineering_and_Technology_(Deemed-to-be-university)\scores.jpg,
IR-E-U-0098,Delhi Technological University,2025,30,8.92,2025\030_Delhi_Technological_University\scores.jpg,
IR-E-U-0747,Chandigarh University,2025,31,8.40,2025\031_Chandigarh_University\scores.jpg,
IR-E-U-0378,Indian Institute of Technology Ropar,2025,32,8.40,2025\032_Indian_Institute_of_Technology_Ropar\scores.jpg,
IR-E-U-0458,Kalasalingam Academy of Research and Education,2025,33,9.08,2025\033_Kalasalingam_Academy_of_Research_and_Education\scores.jpg,
IR-E-U-0496,Aligarh Muslim University,2025,34,5.72,2025\034_Aligarh_Muslim_University\scores.jpg,
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2025,35,11.07,2025\035_Koneru_Lakshmaiah_Education_Foundation_University_(K_L_College_of_Engineering)\scores.jpg,
IR-E-U-0356,Kalinga Institute of Industrial Technology,2025,36,12.05,2025\036_Kalinga_Institute_of_Industrial_Technology\scores.jpg,
IR-E-U-0497,Amity University,2025,37,6.73,2025\037_Amity_University\scores.jpg,
IR-E-U-0014,International Institute of Information Technology Hyderabad,2025,38,2.81,2025\038_International_Institute_of_Information_Technology_Hyderabad\scores.jpg,
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,2025,39,6.99,2025\039_Indian_Institute_of_Technology_Bhubaneswar\scores.jpg,
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,2025,40,10.65,2025\040_Shanmugha_Arts_Science_Technology_&_Research_Academy\scores.jpg,
IR-E-U-0308,Institute of Chemical Technology,2025,41,6.88,2025\041_Institute_of_Chemical_Technology\scores.jpg,
IR-E-U-0410,Malaviya National Institute of Technology,2025,42,8.30,2025\042_Malaviya_National_Institute_of_Technology\scores.jpg,
IR-E-U-0564,UPES,2025,43,0.39,2025\043_UPES\scores.jpg,
IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",2025,44,7.84,"2025\044_Visvesvaraya_National_Institute_of_Technology,_Nagpur\scores.jpg",
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,2025,45,3.09,2025\045_Saveetha_Institute_of_Medical_and_Technical_Sciences\scores.jpg,
IR-E-U-0329,Symbiosis International,2025,46,5.51,2025\046_Symbiosis_International\scores.jpg,
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,2025,47,5.98,2025\047_Sri_Sivasubramaniya_Nadar_College_of_Engineering\scores.jpg,
IR-E-U-0379,Lovely Professional University,2025,48,4.91,2025\048_Lovely_Professional_University\scores.jpg,
IR-E-U-0577,National Institute of Technology Durgapur,2025,49,8.78,2025\049_National_Institute_of_Technology_Durgapur\scores.jpg,
IR-E-U-0055,National Institute of Technology Silchar,2025,50,7.82,2025\050_National_Institute_of_Technology_Silchar\scores.jpg,
IR-E-U-0202,Birla Institute of Technology,2025,51,5.58,2025\051_Birla_Institute_of_Technology\scores.jpg,
IR-E-U-0555,Graphic Era University,2025,52,2.22,2025\052_Graphic_Era_University\scores.jpg,
IR-E-U-0072,National Institute of Technology Patna,2025,53,7.84,2025\053_National_Institute_of_Technology_Patna\scores.jpg,
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",2025,54,9.30,"2025\054_Indian_Institute_of_Engineering_Science_and_Technology,_Shibpur\scores.jpg",
IR-E-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",2025,55,6.27,"2025\055_Dr._B_R_Ambedkar_National_Institute_of_Technology,_Jalandhar\scores.jpg",
IR-E-U-0906,Indian Institute of Technology Jammu,2025,56,2.06,2025\056_Indian_Institute_of_Technology_Jammu\scores.jpg,
IR-E-U-0844,"Indian Institute of Technology, Tirupati",2025,57,0.77,"2025\057_Indian_Institute_of_Technology,_Tirupati\scores.jpg",
IR-E-U-0749,Manipal University Jaipur,2025,58,1.01,2025\058_Manipal_University_Jaipur\scores.jpg,
IR-E-C-7252,Manipal Institute of Technology,2025,59,5.13,2025\059_Manipal_Institute_of_Technology\scores.jpg,
IR-E-U-0739,Madan Mohan Malaviya University of Technology,2025,60,7.90,2025\060_Madan_Mohan_Malaviya_University_of_Technology\scores.jpg,
IR-E-U-0255,Indian Institute of Space Science and Technology,2025,61,4.01,2025\061_Indian_Institute_of_Space_Science_and_Technology\scores.jpg,
IR-E-U-0530,Motilal Nehru National Institute of Technology,2025,62,6.70,2025\062_Motilal_Nehru_National_Institute_of_Technology\scores.jpg,
IR-E-U-0105,Indraprastha Institute of Information Technology,2025,63,3.96,2025\063_Indraprastha_Institute_of_Information_Technology\scores.jpg,
IR-E-U-0878,Indian Institute of Technology Palakkad,2025,64,1.52,2025\064_Indian_Institute_of_Technology_Palakkad\scores.jpg,
IR-E-U-0622,National Institute of Technology Delhi,2025,65,3.18,2025\065_National_Institute_of_Technology_Delhi\scores.jpg,
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,2025,66,6.14,2025\066_Sardar_Vallabhbhai_National_Institute_of_Technology\scores.jpg,
IR-E-C-37013,PSG College of Technology,2025,67,2.71,2025\067_PSG_College_of_Technology\scores.jpg,
IR-E-U-0474,Sathyabama Institute of Science and Technology,2025,67,4.79,2025\067_Sathyabama_Institute_of_Science_and_Technology\scores.jpg,
IR-E-U-0221,International Institute of Information Technology Bangalore,2025,69,1.47,2025\069_International_Institute_of_Information_Technology_Bangalore\scores.jpg,
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),2025,70,6.73,2025\070_Netaji_Subhas_University_of_Technology_(NSUT)\scores.jpg,
IR-E-U-0389,Banasthali Vidyapith,2025,71,7.33,2025\071_Banasthali_Vidyapith\scores.jpg,
IR-E-U-0946,Indian Institute of Technology Bhilai,2025,72,0.83,2025\072_Indian_Institute_of_Technology_Bhilai\scores.jpg,
IR-E-U-0197,National Institute of Technology Srinagar,2025,73,7.44,2025\073_National_Institute_of_Technology_Srinagar\scores.jpg,
IR-E-U-0042,University of Hyderabad,2025,74,5.51,2025\074_University_of_Hyderabad\scores.jpg,
IR-E-C-1331,M. S. Ramaiah Institute of Technology,2025,75,1.96,2025\075_M._S._Ramaiah_Institute_of_Technology\scores.jpg,
IR-E-U-0217,Christ University,2025,76,0.45,2025\076_Christ_University\scores.jpg,
IR-E-U-0899,Indian Institute of Technology Dharwad,2025,77,1.41,2025\077_Indian_Institute_of_Technology_Dharwad\scores.jpg,
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,2025,78,2.81,2025\078_Rajiv_Gandhi_Institute_of_Petroleum_Technology\scores.jpg,
IR-E-U-0384,Sant Longowal Institute of Engineering & Technology,2025,79,2.62,2025\079_Sant_Longowal_Institute_of_Engineering_&_Technology\scores.jpg,
IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",2025,80,5.41,"2025\080_Vignan's_Foundation_for_Science,_Technology_and_Research\scores.jpg",
IR-E-U-0284,Maulana Azad National Institute of Technology,2025,81,5.68,2025\081_Maulana_Azad_National_Institute_of_Technology\scores.jpg,
IR-E-U-0207,"National Institute of Technology, Jamshedpur",2025,82,5.98,"2025\082_National_Institute_of_Technology,_Jamshedpur\scores.jpg",
IR-E-U-0619,National Institute of Technology Meghalaya,2025,83,3.23,2025\083_National_Institute_of_Technology_Meghalaya\scores.jpg,
IR-E-U-0223,"Jain university,Bangalore",2025,84,3.49,"2025\084_Jain_university,Bangalore\scores.jpg",
IR-E-U-0172,National Institute of Technology Kurukshetra,2025,85,4.45,2025\085_National_Institute_of_Technology_Kurukshetra\scores.jpg,
