S No.,total_ft,nphd_ft,GPHD,f(nphd)
6,1082,360.666667,20,1
3,743,247.666667,17.2,0.86
1,698,232.666667,16.75,0.8375
2,696,232,16.73,0.8365
4,630,210,16.02,0.801
7,595,198.333333,15.61,0.7805
5,589,196.333333,15.54,0.777
11,479,159.666667,14.11,0.7055
13,362,120.666667,12.25,0.6125
10,351,117,12.06,0.603
16,327,109,11.61,0.5805
9,325,108.333333,11.57,0.5785
15,322,107.333333,11.51,0.5755
12,321,107,11.49,0.5745
17,307,102.333333,11.22,0.561
35,283,94.333333,10.72,0.536
39,270,90,10.44,0.522
23,260,86.666667,10.21,0.5105
14,244,81.333333,9.84,0.492
24,238,79.333333,9.7,0.485
43,225,75,9.38,0.469
20,221,73.666667,9.28,0.464
21,217,72.333333,9.18,0.459
49,210,70,9,0.45
8,189,63,8.43,0.4215
41,186,62,8.34,0.417
27,185,61.666667,8.31,0.4155
68,182,60.666667,8.23,0.4115
37,177,59,8.08,0.404
36,174,58,8,0.4
38,172,57.333333,7.94,0.397
18,171,57,7.91,0.3955
28,168,56,7.82,0.391
33,156,52,7.45,0.3725
26,153,51,7.35,0.3675
44,151,50.333333,7.29,0.3645
94,148,49.333333,7.19,0.3595
42,146,48.666667,7.12,0.356
60,143,47.666667,7.03,0.3515
34,137,45.666667,6.82,0.341
40,136,45.333333,6.79,0.3395
25,135,45,6.76,0.338
70,133,44.333333,6.69,0.3345
46,126,42,6.44,0.322
47,125,41.666667,6.41,0.3205
65,124,41.333333,6.37,0.3185
45,120,40,6.22,0.311
31,107,35.666667,5.73,0.2865
56,107,35.666667,5.73,0.2865
82,107,35.666667,5.73,0.2865
71,106,35.333333,5.7,0.285
32,105,35,5.66,0.283
22,102,34,5.54,0.277
66,100,33.333333,5.46,0.273
29,91,30.333333,5.09,0.2545
53,87,29,4.92,0.246
89,85,28.333333,4.84,0.242
91,79,26.333333,4.57,0.2285
58,71,23.666667,4.21,0.2105
97,71,23.666667,4.21,0.2105
30,66,22,3.97,0.1985
61,63,21,3.83,0.1915
80,63,21,3.83,0.1915
75,54,18,3.38,0.169
84,52,17.333333,3.27,0.1635
83,49,16.333333,3.12,0.156
62,48,16,3.06,0.153
63,48,16,3.06,0.153
48,46,15.333333,2.95,0.1475
85,46,15.333333,2.95,0.1475
95,45,15,2.9,0.145
50,43,14.333333,2.79,0.1395
86,41,13.666667,2.68,0.134
57,40,13.333333,2.62,0.131
79,38,12.666667,2.51,0.1255
90,38,12.666667,2.51,0.1255
55,35,11.666667,2.34,0.117
19,34,11.333333,2.28,0.114
51,33,11,2.22,0.111
72,32,10.666667,2.16,0.108
78,29,9.666667,1.98,0.099
99,29,9.666667,1.98,0.099
73,25,8.333333,1.73,0.0865
88,20,6.666667,1.41,0.0705
52,17,5.666667,1.22,0.061
92,17,5.666667,1.22,0.061
64,16,5.333333,1.15,0.0575
96,14,4.666667,1.02,0.051
74,12,4,0.88,0.044
76,11,3.666667,0.81,0.0405
77,10,3.333333,0.74,0.037
81,8,2.666667,0.59,0.0295
54,7,2.333333,0.52,0.026
87,7,2.333333,0.52,0.026
59,5,1.666667,0.38,0.019
98,5,1.666667,0.38,0.019
67,3,1,0.23,0.0115
100,3,1,0.23,0.0115
69,2,0.666667,0.15,0.0075
93,2,0.666667,0.15,0.0075
