year,rank,iid,name,city,state,total_score,TLR,RP,GO,OI,PR
2024,84,IR-E-U-0739,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,46.39,73.11,21.42,53.6,69.58,3.49
2024,85,IR-E-U-0105,Indraprastha Institute of Information Technology,New Delhi,Delhi,46.32,54.3,31.67,71.72,44.34,17.57
2024,86,IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,46.23,61.79,36.98,44.86,69.15,7.1
2024,87,IR-E-U-0516,Indian Institute of Information Technology Allahabad,Prayagraj,Uttar Pradesh,45.84,46.98,24.94,80.61,54.41,27.14
2024,88,IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,Telangana,45.78,67.36,23.69,57.0,56.49,14.15
2024,89,IR-E-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,45.64,57.82,30.18,62.52,52.14,15.43
2024,90,IR-E-C-24004,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,45.6,70.81,12.34,65.9,68.52,6.33
2024,91,IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,45.43,66.88,22.57,54.55,64.37,12.49
2024,92,IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,45.4,54.72,42.53,45.81,65.88,4.73
2024,93,IR-E-U-0217,Christ University,Bengaluru,Karnataka,45.02,60.99,38.9,34.41,61.52,20.18
2024,94,IR-E-U-0373,Chitkara University,Rajpura,Punjab,44.82,52.61,36.19,51.54,64.91,13.82
2024,95,IR-E-U-0223,"Jain University, Bangalore",Bengaluru,Karnataka,44.61,65.07,32.16,44.07,61.19,5.13
2024,96,IR-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,44.55,76.2,4.85,57.48,74.22,13.17
2024,97,IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,44.38,61.77,21.98,58.16,66.58,9.7
2024,98,IR-E-C-19754,SR University,Warangal,Telangana,44.29,71.12,16.67,53.31,63.59,9.34
2024,99,IR-E-C-1269,R.V. College of Engineering,Bengaluru,Karnataka,44.26,67.53,16.67,58.98,52.15,19.9
2024,100,IR-E-C-1297,Siddaganga Institute of Technology,Tumkur,Karnataka,43.95,66.69,15.31,61.78,59.8,10.06
2023,1,IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.79,95.19,96.41,79.89,63.26,100.0
2023,2,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,87.09,84.89,94.74,85.0,67.92,94.07
2023,3,IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,80.74,79.12,87.94,81.93,56.89,85.36
