institute_id,institute_name,year,ft_year1,pt_year1,total_year1,ft_year2,pt_year2,total_year2,ft_year3,pt_year3,total_year3,Nphd
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,2024,239,204,443,163,87,250,76,37,113,268.6667
IR-E-U-0273,Indian Institute of Technology Indore,2024,79,2,81,96,0,96,71,2,73,83.3333
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",2024,121,17,138,103,23,126,104,16,120,128
IR-E-U-0139,Indian Institute of Technology Gandhinagar,2024,40,1,41,37,1,38,84,1,85,54.6667
IR-E-U-0357,National Institute of Technology Rourkela,2024,111,0,111,123,0,123,90,0,90,108
IR-E-U-0391,"Birla Institute of Technology and Science, Pilani",2024,61,20,81,51,32,83,44,14,58,74
IR-E-U-0025,National Institute of Technology Warangal,2024,91,17,108,65,15,80,71,14,85,91
IR-E-U-0378,Indian Institute of Technology Ropar,2024,62,2,64,42,10,52,32,0,32,49.3333
IR-E-U-0436,Amrita Vishwa Vidyapeetham,2024,24,20,44,11,34,45,13,25,38,42.3333
IR-E-U-0108,Jamia Millia Islamia,2024,65,0,65,63,0,63,53,0,53,60.3333
IR-E-U-0263,National Institute of Technology Calicut,2024,90,0,90,89,0,89,96,0,96,91.6667
IR-E-U-0363,Siksha `O` Anusandhan,2024,124,3,127,57,0,57,63,5,68,84
IR-E-U-0098,Delhi Technological University,2024,74,65,139,28,24,52,33,20,53,81.3333
IR-E-U-0395,Indian Institute of Technology Jodhpur,2024,20,2,22,12,4,16,25,2,27,21.6667
IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2024,82,20,102,74,23,97,69,22,91,96.6667
IR-E-U-0497,Amity University,2024,50,108,158,42,61,103,39,95,134,131.6667
IR-E-U-0184,Indian Institute of Technology Mandi,2024,59,10,69,56,3,59,52,7,59,62.3333
IR-E-U-0747,Chandigarh University,2024,77,38,115,79,0,79,77,0,77,90.3333
IR-E-U-0496,Aligarh Muslim University,2024,49,2,51,34,0,34,36,0,36,40.3333
IR-E-U-0064,Indian Institute of Technology Patna,2024,72,9,81,90,12,102,38,2,40,74.3333
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2024,119,0,119,69,73,142,48,80,128,129.6667
IR-E-U-0458,Kalasalingam Academy of Research and Education,2024,89,13,102,63,11,74,64,13,77,84.3333
IR-E-U-0356,Kalinga Institute of Industrial Technology,2024,143,0,143,118,0,118,73,0,73,111.3333
IR-E-U-0476,Shanmugha Arts Science Technology and Research Academy,2024,130,9,139,61,10,71,43,7,50,86.6667
