S No.,total_ft,nphd_ft,GPHD,f(nphd)
3,1249,416.3333333,20,1
5,1214,404.6666667,19.79,0.9895
2,942,314,17.89,0.8945
1,798,266,16.68,0.834
8,676,225.3333333,15.5,0.775
4,657,219,15.3,0.765
15,592,197.3333333,14.57,0.7285
10,525,175,13.76,0.688
16,522,174,13.72,0.686
6,453,151,12.78,0.639
20,445,148.3333333,12.66,0.633
36,405,135,12.05,0.6025
13,402,134,12.01,0.6005
18,396,132,11.91,0.5955
14,380,126.6666667,11.65,0.5825
35,346,115.3333333,11.07,0.5535
17,330,110,10.78,0.539
9,325,108.3333333,10.69,0.5345
40,323,107.6666667,10.65,0.5325
22,321,107,10.61,0.5305
19,286,95.33333333,9.93,0.4965
21,273,91,9.66,0.483
29,260,86.66666667,9.39,0.4695
54,256,85.33333333,9.3,0.465
12,253,84.33333333,9.23,0.4615
33,246,82,9.08,0.454
88,246,82,9.08,0.454
28,245,81.66666667,9.06,0.453
30,239,79.66666667,8.92,0.446
49,233,77.66666667,8.78,0.439
7,229,76.33333333,8.69,0.4345
31,217,72.33333333,8.4,0.42
32,217,72.33333333,8.4,0.42
42,213,71,8.3,0.415
24,197,65.66666667,7.9,0.395
60,197,65.66666667,7.9,0.395
44,195,65,7.84,0.392
53,195,65,7.84,0.392
50,194,64.66666667,7.82,0.391
11,185,61.66666667,7.58,0.379
73,180,60,7.44,0.372
71,176,58.66666667,7.33,0.3665
86,175,58.33333333,7.31,0.3655
39,164,54.66666667,6.99,0.3495
26,162,54,6.94,0.347
41,160,53.33333333,6.88,0.344
37,155,51.66666667,6.73,0.3365
70,155,51.66666667,6.73,0.3365
62,154,51.33333333,6.7,0.335
25,150,50,6.58,0.329
55,140,46.66666667,6.27,0.3135
66,136,45.33333333,6.14,0.307
47,131,43.66666667,5.98,0.299
82,131,43.66666667,5.98,0.299
34,123,41,5.72,0.286
81,122,40.66666667,5.68,0.284
51,119,39.66666667,5.58,0.279
46,117,39,5.51,0.2755
74,117,39,5.51,0.2755
80,114,38,5.41,0.2705
59,106,35.33333333,5.13,0.2565
23,100,33.33333333,4.91,0.2455
48,100,33.33333333,4.91,0.2455
68,97,32.33333333,4.79,0.2395
85,88,29.33333333,4.45,0.2225
97,85,28.33333333,4.33,0.2165
61,77,25.66666667,4.01,0.2005
63,76,25.33333333,3.96,0.198
84,65,21.66666667,3.49,0.1745
89,65,21.66666667,3.49,0.1745
93,62,20.66666667,3.36,0.168
83,59,19.66666667,3.23,0.1615
65,58,19.33333333,3.18,0.159
27,57,19,3.14,0.157
45,56,18.66666667,3.09,0.1545
99,56,18.66666667,3.09,0.1545
38,50,16.66666667,2.81,0.1405
78,50,16.66666667,2.81,0.1405
67,48,16,2.71,0.1355
79,46,15.33333333,2.62,0.131
90,44,14.66666667,2.52,0.126
52,38,12.66666667,2.22,0.111
95,38,12.66666667,2.22,0.111
56,35,11.66666667,2.06,0.103
75,33,11,1.96,0.098
94,31,10.33333333,1.85,0.0925
96,28,9.333333333,1.69,0.0845
92,26,8.666666667,1.58,0.079
64,25,8.333333333,1.52,0.076
69,24,8,1.47,0.0735
77,23,7.666666667,1.41,0.0705
87,23,7.666666667,1.41,0.0705
98,17,5.666666667,1.06,0.053
58,16,5.333333333,1.01,0.0505
100,14,4.666666667,0.89,0.0445
72,13,4.333333333,0.83,0.0415
57,12,4,0.77,0.0385
91,11,3.666666667,0.7,0.035
76,7,2.333333333,0.45,0.0225
43,6,2,0.39,0.0195
